net.sta,lat,lon
NC.N015,38.447731,-122.720093
NC.N016,38.298752,-122.284843
NC.N017,38.05299,-122.658661
NC.N018,38.096916,-122.854378
NC.NBO,37.92144,-122.718056
NC.NBRB,38.260208,-122.551788
NC.NCC,38.001984,-122.47467
NC.NEA,38.309883,-122.943001
NC.NFV,38.46769,-122.896507
NC.NHC,38.21748,-122.357674
NC.NHM,38.154861,-121.804382
NC.NHS,38.656517,-122.614418
NC.NHV,38.164879,-122.712959
NC.NMI,38.076012,-122.258499
NC.NOLB,38.04248,-122.796837
NC.NPRB,37.996422,-123.019493
NC.NSM,38.348785,-122.57795
NC.NTAC,37.923717,-122.596481
NC.NTR,38.240391,-122.798424
NC.NTYB,38.38921,-122.662971
NP.1675,38.38921,-122.662971
NP.1688,37.59669,-121.88094
NP.1691,37.92657,-122.07853
NP.1722,37.97862,-122.36597
NP.1737,37.93378,-122.29954
NP.1744,38.61618,-122.87231
NP.1745,38.61618,-122.87231
NP.1752,37.46782,-122.30787
NP.1755,37.76265,-122.24377
NP.1758,37.14135,-121.66312
NP.1765,38.33046,-122.31845
NP.1767,38.44067,-122.704559
NP.1768,38.233635,-122.636711
NP.1770,37.760208,-122.415237
NP.1778,37.302494,-121.979782
NP.1779,37.267475,-121.866562
NP.1786,37.680305,-121.739571
NP.1788,37.417019,-121.915405
NP.1791,37.36495,-122.0389
NP.1796,37.394146,-122.06041
NP.1797,36.8905,-121.4037
NP.1799,37.271133,-121.986237
NP.1801,37.450958,-122.428703
NP.1802,37.592678,-122.074493
NP.1803,37.717369,-121.727005
NP.1804,37.679253,-122.484047
NP.1805,37.78446,-122.30297
NP.1814,37.94457,-122.50924
NP.1815,37.4891,-122.2637
NP.1817,37.779335,-122.486
NP.1824,37.724163,-122.44841
NP.1825,37.413952,-121.87085
NP.1826,37.680599,-121.920975
NP.1828,37.858345,-122.252518
NP.1829,38.290272,-122.46125
NP.1835,38.442097,-122.606796
NP.1836,37.691692,-122.169823
NP.1838,37.383316,-121.910881
NP.1843,37.726883,-122.150917
NP.1844,37.885201,-122.032166
NP.1847,38.01297,-122.134171
NP.1848,38.367432,-122.524033
NP.1849,37.46728,-122.1614
NP.1853,37.4462,-122.15068
NP.1854,37.75896,-122.19756
NP.1856,37.80285,-122.23033
NP.1857,37.7777,-122.22841
NP.1858,37.72983,-122.20137
NP.1859,37.74485,-122.17054
NP.1860,37.78568,-122.19715
NP.1861,37.79207,-122.26376
NP.1862,37.2995,-122.0849
NP.1863,37.666656,-121.857147
NP.1865,36.88311,-121.3908
NP.ADS2,38.77446,-122.69974
NP.PLA,37.798672,-121.46315
CE.47125,36.9741,-121.9537
CE.47567,36.8076,-121.7789
CE.47762,36.6973,-121.6342
CE.57201,37.7009,-121.6844
CE.57202,37.6384,-121.4985
CE.57213,37.5529,-121.9689
CE.57218,37.5529,-121.9689
CE.57252,37.6911,-121.7172
CE.57254,37.6724,-121.7029
CE.57299,37.6724,-121.7029
CE.57307,37.6724,-121.7029
CE.57311,37.5513,-121.9725
CE.57370,37.2903,-121.764
CE.57383,37.0254,-121.4848
CE.57428,37.5004,-121.9877
CE.57431,37.5238,-121.949
CE.57453,37.7682,-121.9555
CE.57534,37.9119,-121.6219
CE.57563,37.9119,-121.6219
CE.58086,37.4354,-122.1726
CE.58127,37.4286,-122.2564
CE.58135,37.0012,-122.0618
CE.58198,37.8072,-122.4761
CE.58215,37.5828,-122.3204
CE.58219,37.6569,-122.0616
CE.58238,37.6569,-122.0616
CE.58339,37.6971,-122.0802
CE.58340,37.7152,-122.0277
CE.58346,37.6799,-122.1259
CE.58347,37.6747,-122.1078
CE.58349,37.695,-122.1118
CE.58351,37.7095,-122.1409
CE.58368,37.9806,-122.271
CE.58369,37.9147,-122.0168
CE.58376,37.6233,-122.1303
CE.58378,37.4841,-122.3142
CE.58393,37.6566,-122.0836
CE.58395,37.5925,-122.381
CE.58406,37.626,-122.0502
CE.58407,37.6656,-122.1265
CE.58427,37.643,-122.1189
CE.58447,37.5251,-122.0999
CE.58461,37.4243,-122.178
CE.58487,37.6887,-122.1074
CE.58497,37.675,-122.03
CE.58526,37.4986,-122.1289
CE.58560,37.5849,-122.5081
CE.58592,37.6284,-122.4239
CE.58619,37.5302,-122.2675
CE.58626,37.2665,-122.0352
CE.58653,37.6704,-122.0874
CE.58665,37.5353,-122.031
CE.58667,37.5353,-122.031
CE.58964,37.3584,-122.3975
CE.67533,38.0155,-121.6396
CE.68034,38.5381,-122.2329
CE.68310,38.1216,-122.2751
CE.69039,38.311,-123.0527
